OBJECTID_1,OBJECTID,NAME,GDB_GEOMATTR_DATA,City,Total,Active,Deceased,Recovered,Date,Date_Label,Today
1,30,BAYTOWN,,Baytown,14428,19,205,14204,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
2,7,BUNKER HILL VILLAGE,,Bunker Hill Village,483,0-5,0-5,480,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
3,19,LEAGUE CITY,,League City,150,0-5,0-5,150,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
4,23,MORGANS POINT,,,,,0,,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
5,13,FRIENDSWOOD,,Friendswood,827,0-5,10,816,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
6,17,HILSHIRE VILLAGE,,Hilshire Village,79,0-5,0-5,79,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
7,21,JERSEY VILLAGE,,Jersey Village,1075,0-5,8,1064,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
8,28,LA PORTE,,La Porte,6864,6,59,6799,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
9,8,NASSAU BAY,,Nassau Bay,586,0-5,10,576,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
10,35,NON-MUNICIPALITY,,Non-Municipality,352818,1624,2499,348695,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
11,1,STAFFORD,,Stafford,20,0-5,0-5,20,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
12,2,GALENA PARK,,Galena Park,2347,0-5,28,2317,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
13,3,HEDWIG VILLAGE,,Hedwig Village,233,0-5,0-5,231,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
14,27,HUMBLE,,Humble,3013,0-5,77,2933,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
15,11,JACINTO CITY,,Jacinto City,2115,0-5,38,2077,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
16,22,KATY,,Katy,1947,0-5,33,1914,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
17,24,PEARLAND,,Pearland,686,0-5,14,672,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
18,20,SPRING VALLEY VILLAGE,,Spring Valley Village,473,0-5,0-5,471,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
19,10,TAYLOR LAKE VILLAGE,,Taylor Lake Village,565,0-5,0-5,559,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
20,29,TOMBALL,,Tomball,2224,0-5,53,2169,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
21,32,PASADENA,,Pasadena,31588,20,298,31270,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
22,6,PINEY POINT VILLAGE,,Piney Point Village,348,0-5,0-5,345,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
23,25,SEABROOK,,Seabrook,2280,0-5,14,2264,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
24,12,SHOREACRES,,Shoreacres,249,0-5,0-5,246,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
25,4,BELLAIRE,,Bellaire,2180,6,11,2163,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
26,34,CITY OF HOUSTON,,City of Houston,457853,13075,4488,440290,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
27,26,DEER PARK,,Deer Park,7079,0-5,47,7027,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
28,9,EL LAGO,,El Lago,469,0-5,0-5,465,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
29,5,HUNTERS CREEK VILLAGE,,Hunters Creek Village,529,0-5,6,518,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
30,31,MISSOURI CITY,,Missouri City,964,0-5,10,954,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
31,18,SOUTH HOUSTON,,South Houston,3521,0-5,30,3487,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
32,15,SOUTHSIDE PLACE,,Southside Place,167,0-5,0-5,167,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
33,33,WALLER,,Waller,180,0-5,0-5,179,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
34,16,WEBSTER,,Webster,2331,0-5,34,2295,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
35,14,WEST UNIVERSITY PLACE,,West University Place,1374,0-5,0-5,1367,2022/04/27 20:36:35+00,2022/04/27,2022/04/27
