OBJECTID,id,Date,Age_5_9,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80Plus,Date_Str,Today
1,1,2020/12/14 05:00:00+00,0,0,0,0,0,0,0,0,0,2020/12/14,2022/04/27
2,2,2020/12/21 05:00:00+00,0,0,0.01,0.02,0.02,0.02,0.02,0.01,0,2020/12/21,2022/04/27
3,3,2020/12/28 05:00:00+00,0,0,0.03,0.06,0.07,0.06,0.08,0.11,0.04,2020/12/28,2022/04/27
4,4,2021/01/04 05:00:00+00,0,0,0.52,0.98,0.9,0.83,0.61,0.29,0.1,2021/01/04,2022/04/27
5,5,2021/01/11 05:00:00+00,0,0.01,0.86,1.58,1.5,1.39,1.01,0.48,0.2,2021/01/11,2022/04/27
6,6,2021/01/18 05:00:00+00,0,0.02,1.17,2.01,1.98,1.91,1.57,1.21,2.15,2021/01/18,2022/04/27
7,7,2021/01/25 05:00:00+00,0,0.05,1.78,2.83,2.91,2.99,2.97,3.58,6.07,2021/01/25,2022/04/27
8,8,2021/02/01 05:00:00+00,0,0.1,2.42,3.82,4.1,4.55,6.25,10.66,15.34,2021/02/01,2022/04/27
9,9,2021/02/08 05:00:00+00,0,0.24,2.93,4.6,5.06,5.83,10.05,18.88,23.9,2021/02/08,2022/04/27
10,10,2021/02/15 05:00:00+00,0,0.3,3.09,4.83,5.37,6.3,11.67,22.53,27.57,2021/02/15,2022/04/27
11,11,2021/02/22 05:00:00+00,0,0.46,3.64,5.82,6.72,8.33,17.25,32.11,35.66,2021/02/22,2022/04/27
12,12,2021/03/01 05:00:00+00,0,0.74,4.15,6.67,7.88,10.1,20.62,36.71,40.02,2021/03/01,2022/04/27
13,13,2021/03/08 05:00:00+00,0,0.87,4.8,7.73,9.38,12.64,24.46,40.73,43.61,2021/03/08,2022/04/27
14,14,2021/03/15 05:00:00+00,0,1.08,5.49,8.76,10.9,15.22,28.89,46.31,48.88,2021/03/15,2022/04/27
15,15,2021/03/22 05:00:00+00,0,1.34,6.63,10.68,13.51,19.65,35.94,52.42,53.74,2021/03/22,2022/04/27
16,16,2021/03/29 05:00:00+00,0,1.69,8.57,13.65,17.62,26.16,42.49,57.28,57.53,2021/03/29,2022/04/27
17,17,2021/04/05 05:00:00+00,0,2.29,12.05,18.22,23.62,34.06,48.62,61.51,61.17,2021/04/05,2022/04/27
18,18,2021/04/12 05:00:00+00,0,2.91,14.58,21.63,27.67,39.47,52.75,64.17,63.47,2021/04/12,2022/04/27
19,19,2021/04/19 05:00:00+00,0,3.86,17.55,25.05,31.66,44.14,56.09,66.33,65.54,2021/04/19,2022/04/27
20,20,2021/04/26 05:00:00+00,0,5.4,21.1,28.78,35.99,48.51,59.48,68.51,67.31,2021/04/26,2022/04/27
21,21,2021/05/03 05:00:00+00,0,7.22,25.28,32.84,40.72,52.22,61.91,70.1,68.67,2021/05/03,2022/04/27
22,22,2021/05/10 05:00:00+00,0,8.6,28.33,35.96,44.44,55.3,63.95,71.57,69.94,2021/05/10,2022/04/27
23,23,2021/05/17 05:00:00+00,0,9.67,30.66,38.41,47.34,57.83,65.62,72.77,70.97,2021/05/17,2022/04/27
24,24,2021/05/24 05:00:00+00,0,10.59,32.34,40.18,49.39,59.68,66.83,73.64,71.73,2021/05/24,2022/04/27
25,25,2021/05/31 05:00:00+00,0,13.14,33.78,41.74,51.1,61.12,67.8,74.34,72.36,2021/05/31,2022/04/27
26,26,2021/06/07 05:00:00+00,0,16.21,35.35,43.36,52.87,62.6,68.77,75.01,72.93,2021/06/07,2022/04/27
27,27,2021/06/14 05:00:00+00,0,18.5,36.77,44.8,54.39,63.86,69.57,75.55,73.37,2021/06/14,2022/04/27
28,28,2021/06/21 05:00:00+00,0,20.23,37.85,45.89,55.5,64.8,70.14,75.95,73.72,2021/06/21,2022/04/27
29,29,2021/06/28 05:00:00+00,0,21.61,38.67,46.71,56.37,65.5,70.6,76.29,74,2021/06/28,2022/04/27
30,30,2021/07/05 05:00:00+00,0,22.92,39.52,47.52,57.16,66.18,71.04,76.62,74.25,2021/07/05,2022/04/27
31,31,2021/07/12 05:00:00+00,0,24.09,40.26,48.21,57.86,66.78,71.42,76.87,74.5,2021/07/12,2022/04/27
32,32,2021/07/19 05:00:00+00,0,25.1,40.92,48.89,58.53,67.33,71.8,77.12,74.73,2021/07/19,2022/04/27
33,33,2021/07/26 05:00:00+00,0,26.26,41.65,49.6,59.28,67.95,72.21,77.4,74.93,2021/07/26,2022/04/27
34,34,2021/08/02 05:00:00+00,0,27.5,42.37,50.3,60.04,68.57,72.61,77.68,75.15,2021/08/02,2022/04/27
