OBJECTID,id,Date,Positive_Pct,Postive_Pct_14dayAvg,Threshold_5PCT,Status,Red_Status,Orange_Status,Yellow_Status,Green_Status,Total,Negative,Positive,Date_Str,Positive_Pct_Str,Postive_Pct_14dayAvg_Str,Threshold_5PCT_Str,Date_Updated,today
1,1,2020/05/01 05:00:00+00,8.3,9.4,5,-1,-1,1,-1,-1,4648,4262,386,2020/05/01,8.3,9.4,5,2022/04/27,2022/04/27
2,2,2020/05/02 05:00:00+00,7.74,9.3,5,-1,-1,-1,1,-1,2867,2645,222,2020/05/02,7.74,9.3,5,2022/04/27,2022/04/27
3,3,2020/05/03 05:00:00+00,12.31,9.4,5,-1,1,-1,-1,-1,1543,1353,190,2020/05/03,12.31,9.4,5,2022/04/27,2022/04/27
4,4,2020/05/04 05:00:00+00,8.43,9.1,5,-1,-1,1,-1,-1,4866,4456,410,2020/05/04,8.43,9.1,5,2022/04/27,2022/04/27
5,5,2020/05/05 05:00:00+00,8.66,9,5,-1,-1,1,-1,-1,4702,4295,407,2020/05/05,8.66,9,5,2022/04/27,2022/04/27
6,6,2020/05/06 05:00:00+00,8.74,8.8,5,-1,-1,1,-1,-1,4554,4156,398,2020/05/06,8.74,8.8,5,2022/04/27,2022/04/27
7,7,2020/05/07 05:00:00+00,8.47,8.7,5,-1,-1,1,-1,-1,4404,4031,373,2020/05/07,8.47,8.7,5,2022/04/27,2022/04/27
8,8,2020/05/08 05:00:00+00,7.83,8.4,5,-1,-1,-1,1,-1,4892,4509,383,2020/05/08,7.83,8.4,5,2022/04/27,2022/04/27
9,9,2020/05/09 05:00:00+00,7.28,8.4,5,-1,-1,-1,1,-1,2664,2470,194,2020/05/09,7.28,8.4,5,2022/04/27,2022/04/27
10,10,2020/05/10 05:00:00+00,9.26,8.4,5,-1,-1,1,-1,-1,994,902,92,2020/05/10,9.26,8.4,5,2022/04/27,2022/04/27
11,11,2020/05/11 05:00:00+00,11.12,8.7,5,-1,1,-1,-1,-1,5136,4565,571,2020/05/11,11.12,8.7,5,2022/04/27,2022/04/27
12,12,2020/05/12 05:00:00+00,7.88,8.6,5,-1,-1,-1,1,-1,5052,4654,398,2020/05/12,7.88,8.6,5,2022/04/27,2022/04/27
13,13,2020/05/13 05:00:00+00,7.14,8.5,5,-1,-1,-1,1,-1,5267,4891,376,2020/05/13,7.14,8.5,5,2022/04/27,2022/04/27
14,14,2020/05/14 05:00:00+00,10.85,8.8,5,-1,1,-1,-1,-1,5483,4888,595,2020/05/14,10.85,8.8,5,2022/04/27,2022/04/27
15,15,2020/05/15 05:00:00+00,8.43,8.8,5,-1,-1,1,-1,-1,5019,4596,423,2020/05/15,8.43,8.8,5,2022/04/27,2022/04/27
16,16,2020/05/16 05:00:00+00,9.45,8.8,5,-1,-1,1,-1,-1,1851,1676,175,2020/05/16,9.45,8.8,5,2022/04/27,2022/04/27
17,17,2020/05/17 05:00:00+00,9.85,8.8,5,-1,-1,1,-1,-1,2458,2216,242,2020/05/17,9.85,8.8,5,2022/04/27,2022/04/27
18,18,2020/05/18 05:00:00+00,10.6,9,5,-1,1,-1,-1,-1,6484,5797,687,2020/05/18,10.6,9,5,2022/04/27,2022/04/27
19,19,2020/05/19 05:00:00+00,7.75,8.9,5,-1,-1,-1,1,-1,7789,7185,604,2020/05/19,7.75,8.9,5,2022/04/27,2022/04/27
20,20,2020/05/20 05:00:00+00,7.28,8.7,5,-1,-1,-1,1,-1,7679,7120,559,2020/05/20,7.28,8.7,5,2022/04/27,2022/04/27
21,21,2020/05/21 05:00:00+00,7.48,8.6,5,-1,-1,-1,1,-1,6375,5898,477,2020/05/21,7.48,8.6,5,2022/04/27,2022/04/27
22,22,2020/05/22 05:00:00+00,7.94,8.6,5,-1,-1,-1,1,-1,7520,6923,597,2020/05/22,7.94,8.6,5,2022/04/27,2022/04/27
23,23,2020/05/23 05:00:00+00,8.2,8.6,5,-1,-1,1,-1,-1,3635,3337,298,2020/05/23,8.2,8.6,5,2022/04/27,2022/04/27
24,24,2020/05/24 05:00:00+00,10.03,8.6,5,-1,1,-1,-1,-1,1875,1687,188,2020/05/24,10.03,8.6,5,2022/04/27,2022/04/27
25,25,2020/05/25 05:00:00+00,9.2,8.5,5,-1,-1,1,-1,-1,1717,1559,158,2020/05/25,9.2,8.5,5,2022/04/27,2022/04/27
26,26,2020/05/26 05:00:00+00,12.09,8.9,5,-1,1,-1,-1,-1,7112,6252,860,2020/05/26,12.09,8.9,5,2022/04/27,2022/04/27
27,27,2020/05/27 05:00:00+00,11.45,9.2,5,-1,1,-1,-1,-1,5746,5088,658,2020/05/27,11.45,9.2,5,2022/04/27,2022/04/27
28,28,2020/05/28 05:00:00+00,11.15,9.3,5,-1,1,-1,-1,-1,5846,5194,652,2020/05/28,11.15,9.3,5,2022/04/27,2022/04/27
29,29,2020/05/29 05:00:00+00,9.71,9.4,5,-1,-1,1,-1,-1,8056,7274,782,2020/05/29,9.71,9.4,5,2022/04/27,2022/04/27
30,30,2020/05/30 05:00:00+00,11.37,9.5,5,-1,1,-1,-1,-1,4063,3601,462,2020/05/30,11.37,9.5,5,2022/04/27,2022/04/27
