OBJECTID,Id_Str,Date,Total,New_Cases,Old_Cases,Source,Date_Label,Date_Str,Today
1,1,2020/03/05 05:00:00+00,2,2,0,HCTX,03-05-2020,2020/03/05,2022/04/27
2,2,2020/03/05 05:00:00+00,0,0,0,HOU,03-05-2020,2020/03/05,2022/04/27
3,3,2020/03/05 05:00:00+00,2,2,0,ALL,03-05-2020,2020/03/05,2022/04/27
4,4,2020/03/12 05:00:00+00,2,2,0,HCTX,03-12-2020,2020/03/12,2022/04/27
5,5,2020/03/12 05:00:00+00,0,0,0,HOU,03-12-2020,2020/03/12,2022/04/27
6,6,2020/03/12 05:00:00+00,2,2,0,ALL,03-12-2020,2020/03/12,2022/04/27
7,7,2020/03/13 05:00:00+00,1,1,0,HCTX,03-13-2020,2020/03/13,2022/04/27
8,8,2020/03/13 05:00:00+00,0,0,0,HOU,03-13-2020,2020/03/13,2022/04/27
9,9,2020/03/13 05:00:00+00,1,1,0,ALL,03-13-2020,2020/03/13,2022/04/27
10,10,2020/03/15 05:00:00+00,2,2,0,HCTX,03-15-2020,2020/03/15,2022/04/27
11,11,2020/03/15 05:00:00+00,0,0,0,HOU,03-15-2020,2020/03/15,2022/04/27
12,12,2020/03/15 05:00:00+00,2,2,0,ALL,03-15-2020,2020/03/15,2022/04/27
13,13,2020/03/16 05:00:00+00,6,6,0,HCTX,03-16-2020,2020/03/16,2022/04/27
14,14,2020/03/16 05:00:00+00,0,0,0,HOU,03-16-2020,2020/03/16,2022/04/27
15,15,2020/03/16 05:00:00+00,6,6,0,ALL,03-16-2020,2020/03/16,2022/04/27
16,16,2020/03/17 05:00:00+00,7,7,0,HCTX,03-17-2020,2020/03/17,2022/04/27
17,17,2020/03/17 05:00:00+00,0,0,0,HOU,03-17-2020,2020/03/17,2022/04/27
18,18,2020/03/17 05:00:00+00,7,7,0,ALL,03-17-2020,2020/03/17,2022/04/27
19,19,2020/03/18 05:00:00+00,6,6,0,HCTX,03-18-2020,2020/03/18,2022/04/27
20,20,2020/03/18 05:00:00+00,0,0,0,HOU,03-18-2020,2020/03/18,2022/04/27
21,21,2020/03/18 05:00:00+00,6,6,0,ALL,03-18-2020,2020/03/18,2022/04/27
22,22,2020/03/19 05:00:00+00,9,9,0,HCTX,03-19-2020,2020/03/19,2022/04/27
23,23,2020/03/19 05:00:00+00,0,0,0,HOU,03-19-2020,2020/03/19,2022/04/27
24,24,2020/03/19 05:00:00+00,9,9,0,ALL,03-19-2020,2020/03/19,2022/04/27
25,25,2020/03/20 05:00:00+00,12,12,0,HCTX,03-20-2020,2020/03/20,2022/04/27
26,26,2020/03/20 05:00:00+00,0,0,0,HOU,03-20-2020,2020/03/20,2022/04/27
27,27,2020/03/20 05:00:00+00,12,12,0,ALL,03-20-2020,2020/03/20,2022/04/27
28,28,2020/03/21 05:00:00+00,6,6,0,HCTX,03-21-2020,2020/03/21,2022/04/27
29,29,2020/03/21 05:00:00+00,0,0,0,HOU,03-21-2020,2020/03/21,2022/04/27
