,day,infection_rate,dead_rate
0,1.0,0.0006,1e-05
1,2.0,1e-05,1e-05
2,3.0,1e-05,1e-05
3,4.0,1e-05,1e-05
4,5.0,1e-05,1e-05
5,6.0,1e-05,1e-05
6,7.0,1e-05,1e-05
7,8.0,1e-05,1e-05
8,9.0,1e-05,1e-05
9,10.0,1e-05,1e-05
10,11.0,1e-05,1e-05
11,12.0,1e-05,1e-05
12,13.0,1e-05,1e-05
13,14.0,1e-05,1e-05
14,15.0,1e-05,1e-05
15,16.0,1e-05,1e-05
16,17.0,1e-05,1e-05
17,18.0,1e-05,1e-05
18,19.0,1e-05,1e-05
19,20.0,1e-05,1e-05
20,21.0,1e-05,1e-05
21,22.0,1e-05,1e-05
22,23.0,1e-05,1e-05
23,24.0,1e-05,1e-05
24,25.0,1e-05,1e-05
25,26.0,1e-05,1e-05
26,27.0,1e-05,1e-05
27,28.0,1e-05,1e-05
28,29.0,1e-05,1e-05
29,30.0,1e-05,1e-05
