,day,s,e,i,h,r,d,v
0,1.0,7149,0,4,0,0,0,2847
1,2.0,7142,0,4,0,0,0,2854
2,3.0,7133,0,4,0,0,0,2863
3,4.0,7128,0,4,0,0,0,2868
4,5.0,7122,0,4,0,0,0,2874
5,6.0,7114,0,4,0,0,0,2882
6,7.0,7109,0,4,0,0,0,2887
7,8.0,7102,0,4,0,0,0,2894
8,9.0,7094,0,4,0,0,0,2902
9,10.0,7086,0,4,0,0,0,2910
10,11.0,7080,0,4,0,0,0,2916
11,12.0,7069,0,4,0,0,0,2927
12,13.0,7063,0,4,0,0,0,2933
13,14.0,7057,0,3,1,0,0,2939
14,15.0,7054,0,3,1,0,0,2942
15,16.0,7050,0,2,1,1,0,2946
16,17.0,7044,0,0,0,4,0,2952
17,18.0,7033,0,0,0,4,0,2963
18,19.0,7025,0,0,0,4,0,2971
19,20.0,7017,0,0,0,4,0,2979
20,21.0,7013,0,0,0,4,0,2983
21,22.0,7007,0,0,0,4,0,2989
22,23.0,7002,0,0,0,4,0,2994
23,24.0,6997,0,0,0,4,0,2999
24,25.0,6991,0,0,0,4,0,3005
25,26.0,6987,0,0,0,4,0,3009
26,27.0,6979,0,0,0,4,0,3017
27,28.0,6973,0,0,0,4,0,3023
28,29.0,6971,0,0,0,4,0,3025
29,30.0,6962,0,0,0,4,0,3034
