,step,s,e,i,h,r,d,v
0,1,6408,798,265,0,0,0,2529
1,2,5967,1238,265,0,0,0,2530
2,3,5686,1519,265,0,0,0,2530
3,4,5503,1702,265,0,0,0,2530
4,5,5361,1844,265,0,0,0,2530
5,6,5274,1931,265,0,0,0,2530
6,7,5219,1986,264,1,0,0,2530
7,8,5166,2039,264,1,0,0,2530
8,9,5119,2086,264,1,0,0,2530
9,10,5098,2107,264,1,0,0,2530
10,11,5048,2157,264,1,0,0,2530
11,12,5014,2188,264,1,0,0,2533
12,13,4999,2203,263,2,0,0,2533
13,14,4989,2213,263,2,0,0,2533
14,15,4983,2218,263,3,0,0,2533
15,16,4978,2223,263,3,0,0,2533
16,17,4972,2229,262,4,0,0,2533
17,18,4967,2234,262,4,0,0,2533
18,19,4964,2237,262,4,0,0,2533
19,20,4959,2242,262,4,0,0,2533
20,21,4957,2244,262,4,0,0,2533
21,22,4954,2247,262,4,0,0,2533
22,23,4936,2265,262,4,0,0,2533
23,24,4923,2275,262,4,0,0,2536
24,25,4923,2275,261,5,0,0,2536
25,26,4923,2275,260,6,0,0,2536
26,27,4923,2275,259,6,1,0,2536
27,28,4923,2275,259,6,1,0,2536
28,29,4923,2275,259,6,1,0,2536
29,30,4923,2275,259,6,1,0,2536
30,31,4922,2276,259,6,1,0,2536
31,32,4922,2276,259,6,1,0,2536
32,33,4922,2276,258,6,2,0,2536
33,34,4922,2276,258,6,2,0,2536
34,35,4905,2293,258,6,2,0,2536
35,36,4897,2300,258,6,2,0,2537
36,37,4897,2300,258,6,2,0,2537
37,38,4897,2300,257,6,3,0,2537
38,39,4897,2300,257,6,3,0,2537
39,40,4897,2299,258,6,3,0,2537
40,41,4897,2299,258,6,3,0,2537
41,42,4897,2299,258,6,3,0,2537
42,43,4897,2299,258,6,3,0,2537
43,44,4897,2298,256,7,5,0,2537
44,45,4897,2298,256,7,5,0,2537
45,46,4897,2298,255,7,6,0,2537
46,47,4883,2312,254,7,7,0,2537
47,48,4871,2319,255,7,7,0,2541
48,49,4869,2321,253,7,9,0,2541
49,50,4869,2321,249,6,14,0,2541
50,51,4869,2321,248,6,15,0,2541
51,52,4869,2321,248,6,15,0,2541
52,53,4869,2321,244,6,19,0,2541
53,54,4869,2321,243,5,21,0,2541
54,55,4869,2321,239,5,25,0,2541
55,56,4869,2321,238,5,26,0,2541
56,57,4869,2321,235,6,28,0,2541
57,58,4869,2321,234,6,29,0,2541
58,59,4855,2335,233,6,30,0,2541
59,60,4846,2338,232,6,31,0,2547
60,61,4845,2338,214,6,50,0,2547
61,62,4845,2338,204,6,60,0,2547
62,63,4845,2338,191,5,74,0,2547
63,64,4845,2338,181,5,84,0,2547
64,65,4845,2337,178,4,89,0,2547
65,66,4845,2337,167,4,100,0,2547
66,67,4845,2337,152,4,115,0,2547
67,68,4845,2337,139,4,128,0,2547
68,69,4845,2336,131,4,137,0,2547
69,70,4845,2336,123,4,145,0,2547
70,71,4841,2339,120,4,149,0,2547
71,72,4832,2343,115,4,155,0,2551
72,73,4832,2343,49,2,223,0,2551
73,74,4832,2343,49,2,223,0,2551
74,75,4832,2343,49,2,223,0,2551
75,76,4832,2343,49,2,223,0,2551
76,77,4832,2341,51,2,223,0,2551
77,78,4832,2341,36,2,238,0,2551
78,79,4832,2341,36,2,238,0,2551
79,80,4832,2341,36,2,238,0,2551
80,81,4832,2341,36,2,238,0,2551
81,82,4832,2340,37,2,238,0,2551
82,83,4830,2342,37,2,238,0,2551
83,84,4828,2340,25,0,254,0,2553
84,85,4827,2335,31,0,254,0,2553
85,86,4824,2334,35,0,254,0,2553
86,87,4823,2329,41,0,254,0,2553
