,step,s,e,i,h,r,d,v
0,1,7153,0,4,0,0,0,2843
1,2,7153,0,4,0,0,0,2843
2,3,7153,0,4,0,0,0,2843
3,4,7153,0,4,0,0,0,2843
4,5,7153,0,4,0,0,0,2843
5,6,7153,0,4,0,0,0,2843
6,7,7153,0,4,0,0,0,2843
7,8,7153,0,4,0,0,0,2843
8,9,7153,0,4,0,0,0,2843
9,10,7153,0,4,0,0,0,2843
10,11,7153,0,4,0,0,0,2843
11,12,7149,0,4,0,0,0,2847
12,13,7149,0,4,0,0,0,2847
13,14,7149,0,4,0,0,0,2847
14,15,7149,0,4,0,0,0,2847
15,16,7149,0,4,0,0,0,2847
16,17,7149,0,4,0,0,0,2847
17,18,7149,0,4,0,0,0,2847
18,19,7149,0,4,0,0,0,2847
19,20,7149,0,4,0,0,0,2847
20,21,7149,0,4,0,0,0,2847
21,22,7149,0,4,0,0,0,2847
22,23,7149,0,4,0,0,0,2847
23,24,7142,0,4,0,0,0,2854
24,25,7142,0,4,0,0,0,2854
25,26,7142,0,4,0,0,0,2854
26,27,7142,0,4,0,0,0,2854
27,28,7142,0,4,0,0,0,2854
28,29,7142,0,4,0,0,0,2854
29,30,7142,0,4,0,0,0,2854
30,31,7142,0,4,0,0,0,2854
31,32,7142,0,4,0,0,0,2854
32,33,7142,0,4,0,0,0,2854
33,34,7142,0,4,0,0,0,2854
34,35,7142,0,4,0,0,0,2854
35,36,7133,0,4,0,0,0,2863
36,37,7133,0,4,0,0,0,2863
37,38,7133,0,4,0,0,0,2863
38,39,7133,0,4,0,0,0,2863
39,40,7133,0,4,0,0,0,2863
40,41,7133,0,4,0,0,0,2863
41,42,7133,0,4,0,0,0,2863
42,43,7133,0,4,0,0,0,2863
43,44,7133,0,4,0,0,0,2863
44,45,7133,0,4,0,0,0,2863
45,46,7133,0,4,0,0,0,2863
46,47,7133,0,4,0,0,0,2863
47,48,7128,0,4,0,0,0,2868
48,49,7128,0,4,0,0,0,2868
49,50,7128,0,4,0,0,0,2868
50,51,7128,0,4,0,0,0,2868
51,52,7128,0,4,0,0,0,2868
52,53,7128,0,4,0,0,0,2868
53,54,7128,0,4,0,0,0,2868
54,55,7128,0,4,0,0,0,2868
55,56,7128,0,4,0,0,0,2868
56,57,7128,0,4,0,0,0,2868
57,58,7128,0,4,0,0,0,2868
58,59,7128,0,4,0,0,0,2868
59,60,7122,0,4,0,0,0,2874
60,61,7122,0,4,0,0,0,2874
61,62,7122,0,4,0,0,0,2874
62,63,7122,0,4,0,0,0,2874
63,64,7122,0,4,0,0,0,2874
64,65,7122,0,4,0,0,0,2874
65,66,7122,0,4,0,0,0,2874
66,67,7122,0,4,0,0,0,2874
67,68,7122,0,4,0,0,0,2874
68,69,7122,0,4,0,0,0,2874
69,70,7122,0,4,0,0,0,2874
70,71,7122,0,4,0,0,0,2874
71,72,7114,0,4,0,0,0,2882
72,73,7114,0,4,0,0,0,2882
73,74,7114,0,4,0,0,0,2882
74,75,7114,0,4,0,0,0,2882
75,76,7114,0,4,0,0,0,2882
76,77,7114,0,4,0,0,0,2882
77,78,7114,0,4,0,0,0,2882
78,79,7114,0,4,0,0,0,2882
79,80,7114,0,4,0,0,0,2882
80,81,7114,0,4,0,0,0,2882
81,82,7114,0,4,0,0,0,2882
82,83,7114,0,4,0,0,0,2882
83,84,7109,0,4,0,0,0,2887
84,85,7109,0,4,0,0,0,2887
85,86,7109,0,4,0,0,0,2887
86,87,7109,0,4,0,0,0,2887
87,88,7109,0,4,0,0,0,2887
88,89,7109,0,4,0,0,0,2887
89,90,7109,0,4,0,0,0,2887
90,91,7109,0,4,0,0,0,2887
91,92,7109,0,4,0,0,0,2887
92,93,7109,0,4,0,0,0,2887
93,94,7109,0,4,0,0,0,2887
94,95,7109,0,4,0,0,0,2887
95,96,7102,0,4,0,0,0,2894
96,97,7102,0,4,0,0,0,2894
97,98,7102,0,4,0,0,0,2894
98,99,7102,0,4,0,0,0,2894
99,100,7102,0,4,0,0,0,2894
100,101,7102,0,4,0,0,0,2894
101,102,7102,0,4,0,0,0,2894
102,103,7102,0,4,0,0,0,2894
103,104,7102,0,4,0,0,0,2894
104,105,7102,0,4,0,0,0,2894
105,106,7102,0,4,0,0,0,2894
106,107,7102,0,4,0,0,0,2894
107,108,7094,0,4,0,0,0,2902
108,109,7094,0,4,0,0,0,2902
109,110,7094,0,4,0,0,0,2902
110,111,7094,0,4,0,0,0,2902
111,112,7094,0,4,0,0,0,2902
112,113,7094,0,4,0,0,0,2902
113,114,7094,0,4,0,0,0,2902
114,115,7094,0,4,0,0,0,2902
115,116,7094,0,4,0,0,0,2902
116,117,7094,0,4,0,0,0,2902
117,118,7094,0,4,0,0,0,2902
118,119,7094,0,4,0,0,0,2902
119,120,7086,0,4,0,0,0,2910
120,121,7086,0,4,0,0,0,2910
121,122,7086,0,4,0,0,0,2910
122,123,7086,0,4,0,0,0,2910
123,124,7086,0,4,0,0,0,2910
124,125,7086,0,4,0,0,0,2910
125,126,7086,0,4,0,0,0,2910
126,127,7086,0,4,0,0,0,2910
127,128,7086,0,4,0,0,0,2910
128,129,7086,0,4,0,0,0,2910
129,130,7086,0,4,0,0,0,2910
130,131,7086,0,4,0,0,0,2910
131,132,7080,0,4,0,0,0,2916
132,133,7080,0,4,0,0,0,2916
133,134,7080,0,4,0,0,0,2916
134,135,7080,0,4,0,0,0,2916
135,136,7080,0,4,0,0,0,2916
136,137,7080,0,4,0,0,0,2916
137,138,7080,0,4,0,0,0,2916
138,139,7080,0,4,0,0,0,2916
139,140,7080,0,4,0,0,0,2916
140,141,7080,0,4,0,0,0,2916
141,142,7080,0,4,0,0,0,2916
142,143,7080,0,4,0,0,0,2916
143,144,7069,0,4,0,0,0,2927
144,145,7069,0,4,0,0,0,2927
145,146,7069,0,4,0,0,0,2927
146,147,7069,0,4,0,0,0,2927
147,148,7069,0,4,0,0,0,2927
148,149,7069,0,4,0,0,0,2927
149,150,7069,0,4,0,0,0,2927
150,151,7069,0,4,0,0,0,2927
151,152,7069,0,4,0,0,0,2927
152,153,7069,0,4,0,0,0,2927
153,154,7069,0,4,0,0,0,2927
154,155,7069,0,4,0,0,0,2927
155,156,7063,0,4,0,0,0,2933
156,157,7063,0,4,0,0,0,2933
157,158,7063,0,4,0,0,0,2933
158,159,7063,0,4,0,0,0,2933
159,160,7063,0,3,1,0,0,2933
160,161,7063,0,3,1,0,0,2933
161,162,7063,0,3,1,0,0,2933
162,163,7063,0,3,1,0,0,2933
163,164,7063,0,3,1,0,0,2933
164,165,7063,0,3,1,0,0,2933
165,166,7063,0,3,1,0,0,2933
166,167,7063,0,3,1,0,0,2933
167,168,7057,0,3,1,0,0,2939
168,169,7057,0,3,1,0,0,2939
169,170,7057,0,3,1,0,0,2939
170,171,7057,0,3,1,0,0,2939
171,172,7057,0,3,1,0,0,2939
172,173,7057,0,3,1,0,0,2939
173,174,7057,0,3,1,0,0,2939
174,175,7057,0,3,1,0,0,2939
175,176,7057,0,3,1,0,0,2939
176,177,7057,0,3,1,0,0,2939
177,178,7057,0,3,1,0,0,2939
178,179,7057,0,3,1,0,0,2939
179,180,7054,0,3,1,0,0,2942
180,181,7054,0,3,1,0,0,2942
181,182,7054,0,3,1,0,0,2942
182,183,7054,0,3,1,0,0,2942
183,184,7054,0,2,1,1,0,2942
184,185,7054,0,2,1,1,0,2942
185,186,7054,0,2,1,1,0,2942
186,187,7054,0,2,1,1,0,2942
187,188,7054,0,2,1,1,0,2942
188,189,7054,0,2,1,1,0,2942
189,190,7054,0,2,1,1,0,2942
190,191,7054,0,2,1,1,0,2942
191,192,7050,0,2,1,1,0,2946
192,193,7050,0,1,1,2,0,2946
193,194,7050,0,1,1,2,0,2946
194,195,7050,0,0,1,3,0,2946
195,196,7050,0,0,0,4,0,2946
196,197,7050,0,0,0,4,0,2946
197,198,7050,0,0,0,4,0,2946
198,199,7050,0,0,0,4,0,2946
199,200,7050,0,0,0,4,0,2946
200,201,7050,0,0,0,4,0,2946
201,202,7050,0,0,0,4,0,2946
202,203,7050,0,0,0,4,0,2946
203,204,7044,0,0,0,4,0,2952
204,205,7044,0,0,0,4,0,2952
205,206,7044,0,0,0,4,0,2952
206,207,7044,0,0,0,4,0,2952
207,208,7044,0,0,0,4,0,2952
208,209,7044,0,0,0,4,0,2952
209,210,7044,0,0,0,4,0,2952
210,211,7044,0,0,0,4,0,2952
211,212,7044,0,0,0,4,0,2952
212,213,7044,0,0,0,4,0,2952
213,214,7044,0,0,0,4,0,2952
214,215,7044,0,0,0,4,0,2952
215,216,7033,0,0,0,4,0,2963
216,217,7033,0,0,0,4,0,2963
217,218,7033,0,0,0,4,0,2963
218,219,7033,0,0,0,4,0,2963
219,220,7033,0,0,0,4,0,2963
220,221,7033,0,0,0,4,0,2963
221,222,7033,0,0,0,4,0,2963
222,223,7033,0,0,0,4,0,2963
223,224,7033,0,0,0,4,0,2963
224,225,7033,0,0,0,4,0,2963
225,226,7033,0,0,0,4,0,2963
226,227,7033,0,0,0,4,0,2963
227,228,7025,0,0,0,4,0,2971
228,229,7025,0,0,0,4,0,2971
229,230,7025,0,0,0,4,0,2971
230,231,7025,0,0,0,4,0,2971
231,232,7025,0,0,0,4,0,2971
232,233,7025,0,0,0,4,0,2971
233,234,7025,0,0,0,4,0,2971
234,235,7025,0,0,0,4,0,2971
235,236,7025,0,0,0,4,0,2971
236,237,7025,0,0,0,4,0,2971
237,238,7025,0,0,0,4,0,2971
238,239,7025,0,0,0,4,0,2971
239,240,7017,0,0,0,4,0,2979
240,241,7017,0,0,0,4,0,2979
241,242,7017,0,0,0,4,0,2979
242,243,7017,0,0,0,4,0,2979
243,244,7017,0,0,0,4,0,2979
244,245,7017,0,0,0,4,0,2979
245,246,7017,0,0,0,4,0,2979
246,247,7017,0,0,0,4,0,2979
247,248,7017,0,0,0,4,0,2979
248,249,7017,0,0,0,4,0,2979
249,250,7017,0,0,0,4,0,2979
250,251,7017,0,0,0,4,0,2979
251,252,7013,0,0,0,4,0,2983
252,253,7013,0,0,0,4,0,2983
253,254,7013,0,0,0,4,0,2983
254,255,7013,0,0,0,4,0,2983
255,256,7013,0,0,0,4,0,2983
256,257,7013,0,0,0,4,0,2983
257,258,7013,0,0,0,4,0,2983
258,259,7013,0,0,0,4,0,2983
259,260,7013,0,0,0,4,0,2983
260,261,7013,0,0,0,4,0,2983
261,262,7013,0,0,0,4,0,2983
262,263,7013,0,0,0,4,0,2983
263,264,7007,0,0,0,4,0,2989
264,265,7007,0,0,0,4,0,2989
265,266,7007,0,0,0,4,0,2989
266,267,7007,0,0,0,4,0,2989
267,268,7007,0,0,0,4,0,2989
268,269,7007,0,0,0,4,0,2989
269,270,7007,0,0,0,4,0,2989
270,271,7007,0,0,0,4,0,2989
271,272,7007,0,0,0,4,0,2989
272,273,7007,0,0,0,4,0,2989
273,274,7007,0,0,0,4,0,2989
274,275,7007,0,0,0,4,0,2989
275,276,7002,0,0,0,4,0,2994
276,277,7002,0,0,0,4,0,2994
277,278,7002,0,0,0,4,0,2994
278,279,7002,0,0,0,4,0,2994
279,280,7002,0,0,0,4,0,2994
280,281,7002,0,0,0,4,0,2994
281,282,7002,0,0,0,4,0,2994
282,283,7002,0,0,0,4,0,2994
283,284,7002,0,0,0,4,0,2994
284,285,7002,0,0,0,4,0,2994
285,286,7002,0,0,0,4,0,2994
286,287,7002,0,0,0,4,0,2994
287,288,6997,0,0,0,4,0,2999
288,289,6997,0,0,0,4,0,2999
289,290,6997,0,0,0,4,0,2999
290,291,6997,0,0,0,4,0,2999
291,292,6997,0,0,0,4,0,2999
292,293,6997,0,0,0,4,0,2999
293,294,6997,0,0,0,4,0,2999
294,295,6997,0,0,0,4,0,2999
295,296,6997,0,0,0,4,0,2999
296,297,6997,0,0,0,4,0,2999
297,298,6997,0,0,0,4,0,2999
298,299,6997,0,0,0,4,0,2999
299,300,6991,0,0,0,4,0,3005
300,301,6991,0,0,0,4,0,3005
301,302,6991,0,0,0,4,0,3005
302,303,6991,0,0,0,4,0,3005
303,304,6991,0,0,0,4,0,3005
304,305,6991,0,0,0,4,0,3005
305,306,6991,0,0,0,4,0,3005
306,307,6991,0,0,0,4,0,3005
307,308,6991,0,0,0,4,0,3005
308,309,6991,0,0,0,4,0,3005
309,310,6991,0,0,0,4,0,3005
310,311,6991,0,0,0,4,0,3005
311,312,6987,0,0,0,4,0,3009
312,313,6987,0,0,0,4,0,3009
313,314,6987,0,0,0,4,0,3009
314,315,6987,0,0,0,4,0,3009
315,316,6987,0,0,0,4,0,3009
316,317,6987,0,0,0,4,0,3009
317,318,6987,0,0,0,4,0,3009
