,day,infection_rate,dead_rate
0,1.0,0.00011239064435653742,5.113906549982084e-06
1,2.0,0.00011325447947894723,3.899596126663824e-06
2,3.0,0.00011867502593438924,5.351457502548512e-06
3,4.0,0.00015648167801854545,9.650303201770691e-06
4,5.0,4.608088555492401e-05,1.1733034952391234e-05
5,6.0,0.00013157433064641164,5.285867799606913e-06
6,7.0,5.507739866767839e-05,8.06262007028666e-06
7,8.0,4.818947150072911e-05,1.3300043650174553e-05
8,9.0,3.261551838051628e-05,9.245487973572976e-06
9,10.0,0.00014840452727074075,1.4043257987599754e-05
10,11.0,2.2782866685764158e-05,1.6400329009680223e-05
11,12.0,3.717473744430511e-05,2.3758226792926346e-06
12,13.0,1.6355159741887143e-05,1.572756619329935e-05
13,14.0,0.00014834403867181089,1.5273083343285464e-06
14,15.0,8.614255189422889e-05,9.812222894788406e-06
15,16.0,3.384730117245895e-05,1.61570811773915e-05
16,17.0,0.00014044521248723882,6.0662042086648375e-06
17,18.0,0.0001517994426275941,1.2592218523833473e-05
18,19.0,8.998626724359822e-05,1.2424367044741092e-05
19,20.0,0.00012675446919806454,3.555034545514121e-06
20,21.0,6.309333818964618e-05,3.945963643541763e-06
21,22.0,2.5282061915891088e-05,1.0000318296395503e-05
22,23.0,0.00016963939836768424,3.527093379087994e-06
23,24.0,3.602586048949047e-05,1.311044168800206e-05
24,25.0,6.304521051731983e-05,1.5887508773976554e-05
25,26.0,0.00015126228317449025,6.0142856073327376e-06
26,27.0,7.572456786060859e-05,1.0802976734220679e-05
27,28.0,0.00011150713363584619,1.2381869647671772e-05
28,29.0,3.372582456494798e-05,1.2902229571675652e-05
29,30.0,0.00016160513403636246,7.211297233477986e-06
